date,site,sample,average.depth,cobble,sand,gravel,pebble,epilithon_gm2,epilithon_chla_mgm2,total.algal.biomass.g.m2,filamentous_gm2,fila_macro_gm2,filamentous_chla_mgm2,doy
2020-07-21,GC,1,25.75,1,0,0,0,20.61034849,39.59248735,87.5,66.930518304,66.930518304,367.57529145,203
2020-07-21,GC,5,32.75,1,0,0,0,15.15260474,42.89419976,136,121.099242959,121.099242959,153.35198582400002,203
2020-07-21,GC,2,35.25,1,0,0,0,41.36567561,86.41503041,235,193.392133105,193.392133105,187.60633173,203
2020-07-21,GC,3,21.5,1,0,0,0,35.06670508,25.27911938,88.2,53.145188942,53.145188942,0.446410983,203
2020-07-21,GC,4,32.5,1,0,0,0,7.365849529,13.71951593,31.5,24.092758463,24.092758463,50.100718908,203
2020-08-04,GC,1,33.375,1,0,0,0,6.753197917,20.42558324,57.2,50.435793772,50.435793772,2.878380473,217
2020-08-04,GC,3,39,1,0,0,0,1.756891517,10.97501849,136,133.809793841,133.809793841,148.59079227200002,217
2020-08-04,GC,4,36.25,1,0,0,0,1.124753531,5.603729956,143,141.67420291000002,141.67420291000002,220.711270812,217
2020-08-04,GC,2,31,1,0,0,0,7.862362349,73.83977729,190,182.531340723,182.531340723,397.02305806,217
2020-08-04,GC,5,33.625,1,0,0,0,8.96002982,9.471121206,164,154.59240615000002,154.59240615000002,176.245893,217
2020-08-18,GC,1,22.25,1,0,0,0,4.777279551,15.90155464,30.8,26.001916,26.001916,34.141025397,231
2020-08-18,GC,4,25.25,1,0,0,0,21.7146803,19.5160356,367,345.69868344,345.69868344,219.17293317,231
2020-08-18,GC,2,30,1,0,0,0,27.99139739,22.29761054,94.9,66.940397133,66.940397133,237.848654712,231
2020-08-18,GC,3,18.25,1,0,0,0,8.207660903,21.05432248,47,38.7970113,38.7970113,181.51950808,231
2020-08-18,GC,5,40,1,0,0,0,5.176847659,20.05037661,78.9,73.68553955200001,73.68553955200001,79.967549169,231
2020-09-01,GC,1,31.75,1,0,0,0,16.13471802,55.65065203,23.7,7.56244756,7.56244756,0.084576941,245
2020-09-01,GC,2,22,1,0,0,0,17.06421807,23.91428054,17.1,0,0,0,245
2020-09-01,GC,3,24.25,1,0,0,0,12.93466561,19.84701493,22,9.067594606,9.067594606,1.928053368,245
2020-09-01,GC,4,36.25,1,0,0,0,7.815984778,8.748215697,92.8,85.007457178,85.007457178,4.969869976,245
2020-09-01,GC,5,35,1,0,0,0,9.063502468,17.8004368,13.8,4.695436779,4.695436779,0,245
2020-09-29,GC,2,20.5,1,0,0,0,20.47940005,60.53253057,132,111.405793911,111.405793911,163.67232641,273
2020-09-29,GC,1,33.5,1,0,0,0,14.7620978,37.45080804,186,171.021875809,171.021875809,422.33001495,273
2020-09-29,GC,3,20.5,1,0,0,0,9.171067254,53.64135797,36.9,27.686703602,27.686703602,42.436673715999994,273
2020-09-29,GC,4,23.75,1,0,0,0,21.96660015,71.61777922,48.1,26.153733458,26.153733458,35.36571541,273
2020-09-29,GC,5,19,1,0,0,0,13.39883105,37.21130268,29.7,16.338457082999998,16.338457082999998,24.667486169,273
2020-10-20,GC,1,30,1,0,0,0,18.7162729,78.16083398,23.8,5.112955815,12.30416885,5.949774162,294
2020-10-20,GC,4,30,1,0,0,0,5.537248154,24.67697574,5.54,0,0,0,294
2020-10-20,GC,2,25,1,0,0,0,8.492356834,30.1671841,13.1,4.598702105,4.598702105,9.154473392,294
2020-10-20,GC,3,40,1,0,0,0,18.5292037,48.77860409,18.5,0,0,0,294
2020-10-20,GC,5,35,1,0,0,0,17.07941745,64.75924886,17.1,0,0,0,294
2021-06-22,GC,1,13.875,1,0,0,0,6.430503557,22.73079245,11.4,4.946957858,4.946957858,3.351850336,173
2021-06-22,GC,2,9.8125,1,0,0,0,10.04093901,36.71359165,10,0,2.644690736,0,173
2021-06-22,GC,3,14.8125,1,0,0,0,9.143006875,27.15223061,9.14,0,2.309970498,0,173
2021-06-22,GC,4,9,1,0,0,0,7.313236318,17.12238075,7.31,0,0,0,173
2021-06-22,GC,5,14.25,1,0,0,0,6.734490998,17.78030258,6.73,0,0,0,173
2021-07-07,GC,1,6.625,1,0,0,0,8.464881046,18.87490991,8.46,0,0,0,188
2021-07-07,GC,2,14.625,1,0,0,0,4.23127134,7.498898933,43.8,39.539372965,39.539372965,42.490616657,188
2021-07-07,GC,3,13.8125,1,0,0,0,17.47810867,23.37268184,129,111.708826128,156.134252248,78.263537727,188
2021-07-07,GC,4,14,1,0,0,0,11.90695422,11.98304588,122,109.625849096,109.625849096,97.048590008,188
2021-07-07,GC,5,9.625,1,0,0,0,2.272890712,34.08077644,3.41,1.139952903,1.139952903,2.086651947,188
2021-07-20,GC,1,26.25,1,0,0,0,35.8050438,108.9924516,35.8,0,51.21603787,0,201
2021-07-20,GC,2,33.5,1,0,0,0,10.59746986,83.49241324,10.6,0,2.094005795,0,201
2021-07-20,GC,3,38.25,1,0,0,0,5.050868248,11.28413989,64.2,59.192330577,59.192330577,171.76848468600002,201
2021-07-20,GC,4,32.5,1,0,0,0,7.9878546,27.00467341,20.7,12.676312496,12.676312496,23.635316743,201
2021-07-20,GC,5,26.25,1,0,0,0,8.184277254,28.98076719,127,118.787780125,118.787780125,346.520812976,201
2021-08-03,GC,5,27.625,1,0,0,0,5.15609467,13.33653771,5.16,0,40.86677018,0,215
2021-08-03,GC,1,24.875,1,0,0,0,3.66187948,19.26744272,3.66,0,0.698368885,0,215
2021-08-03,GC,2,21.375,1,0,0,0,12.94518825,25.05284507,14.7,1.740904709,55.426893289,4.278804068,215
2021-08-03,GC,3,35.375,1,0,0,0,1.031218934,3.72582118,38.2,37.200529709,37.200529709,105.75200039,215
2021-08-03,GC,4,36.375,1,0,0,0,12.88439076,59.01068075,12.9,0,0,0,215
2021-08-17,GC,1,22.86,1,0,0,0,5.81083685,18.45811952,5.81,0,6.830128774,0,229
2021-08-17,GC,2,35.8775,1,0,0,0,8.791082953,26.14338765,32.7,23.8700292,23.8700292,45.81640428,229
2021-08-17,GC,3,37.7825,1,0,0,0,9.698368546,25.55605458,113,103.563135303,103.563135303,159.31088497,229
2021-08-17,GC,4,33.81375,1,0,0,0,8.038129446,23.7750706,88.6,80.542497603,80.542497603,151.37293119,229
2021-08-17,GC,5,46.355,1,0,0,0,7.955117491,27.68369586,107,98.86958211,98.86958211,207.344989,229
2021-08-17,GC,6,45.72,1,0,0,0,8.73262383,16.07965018,120,111.363861623,111.363861623,148.667649327,229
2021-08-17,GC,7,47.625,1,0,0,0,9.513637717,32.11563851,123,113.525327698,113.525327698,284.38806891,229
2021-09-09,GC,1,18.75,1,0,0,0,9.263432669,32.53538143,51.9,42.636841624,42.636841624,190.54851209,252
2021-09-09,GC,2,30,1,0,0,0,12.36761211,48.42238441,24.7,12.360428127,12.360428127,34.691328756000004,252
2021-09-09,GC,3,34.5,1,0,0,0,10.44313778,42.47861615,108,97.83918569,97.83918569,268.80131287,252
2021-09-09,GC,4,41.75,1,0,0,0,14.80535755,21.99294542,153,138.62647855999998,138.62647855999998,310.53196405999995,252
2021-09-09,GC,5,47.75,1,0,0,0,4.890690251,10.62873655,71,66.08913047200001,66.08913047200001,157.4358034,252
2021-09-09,GC,6,20.5,1,0,0,0,16.54627024,45.2042896,84.7,68.187859638,68.187859638,235.489612305,252
2021-09-09,GC,7,31.25,1,0,0,0,18.87762008,50.47037572,32.1,13.240685894,13.240685894,48.172795557,252
2021-09-09,GC,8,34.875,1,0,0,0,15.00528775,39.41393592,260,244.82420272,244.82420272,327.41808599,252
2021-09-09,GC,9,37.75,1,0,0,0,5.745362632,9.611009921,107,101.072710803,101.072710803,63.562559044,252
2021-09-09,GC,10,45,1,0,0,0,6.049934665,10.62407367,74.5,68.416824257,68.416824257,116.68635948,252
2021-09-09,GC,11,22,1,0,0,0,15.74654944,48.2734678,40.1,24.36987933,24.36987933,76.16055032,252
2021-09-09,GC,12,31.375,1,0,0,0,17.28519356,44.78337451,49.3,32.045955833,32.045955833,167.25714040600002,252
2021-09-09,GC,13,35.75,1,0,0,0,0.869871754,2.143601392,109,107.68054513,107.68054513,198.520213012,252
2021-09-09,GC,14,35.75,1,0,0,0,5.555955073,16.73309175,113,107.399234189,107.399234189,353.12758308,252
2021-09-09,GC,15,42.75,1,0,0,0,3.953005914,9.250297781,81,77.025868214,77.025868214,219.734779657,252
2021-09-09,GC,16,23.875,1,0,0,0,19.53002389,44.05221905,33.9,14.378991278,14.378991278,19.693236215,252
2021-09-09,GC,17,31.75,1,0,0,0,4.793648106,14.7929344,47.7,42.940409315,42.940409315,104.670348922,252
2021-09-09,GC,18,33.75,1,0,0,0,6.134700393,14.78891232,121,114.956343372,114.956343372,288.71247968,252
2021-09-09,GC,19,44.375,1,0,0,0,4.072262525,10.66687167,116,112.315071301,112.315071301,367.092159795,252
2021-09-09,GC,20,36.25,1,0,0,0,6.629264576,14.14708484,79.6,72.985736505,72.985736505,61.954051327,252
2021-10-13,GC,1,18.75,1,0,0,0,25.58989661,52.87550646,25.6,0,57.65859151,0,286
2021-10-13,GC,2,32.25,1,0,0,0,28.88465279,44.737552,28.9,0,157.4394726,0,286
2021-10-13,GC,3,45,1,0,0,0,6.419980915,3.730512174,40.1,33.701664793999996,33.701664793999996,88.447104118,286
2021-10-13,GC,4,37,1,0,0,0,1.419621349,3.795131874,6.81,5.394507654,9.812848189,14.25719617,286
2021-10-13,GC,5,58,1,0,0,0,25.25434124,57.69878214,31.7,6.39723884,37.35479839,12.61052776,286
