model,covariates,waic,waic_se,loo,loo_se,r2adj,rmse
ar1_lmod,light,-736.7108799224219,92.0303803207253,-736.6187315102094,92.06257097793593,0.8130537964720196,1.4336102690080976
ar1_lmod,light + epil_afdm,-771.3485648110259,87.0163071997104,-771.3074629328282,87.01983809371625,0.8129340480576506,1.4333668864267177
ar1_lmod,light + fila_afdm,-746.6099822910575,91.6663616025229,-746.4479634829916,91.72718249579297,0.8162435500574396,1.420631005620085
ar1_lmod,light + epil_afdm + fila_afdm,-772.0669747762487,87.2580806348418,-772.0638170111947,87.24556205196289,0.8146662949141412,1.4260153590470521
ar1_lmod,light + epil_chla,-779.2373636191775,87.500287655222,-779.0817323959019,87.56192352119393,0.8147885452517316,1.4262442761340324
ar1_lmod,light + fila_chla,-755.6015950306057,88.68514319971776,-755.6175374288744,88.66430455318658,0.8133286954304874,1.4318541227947952
ar1_lmod,light + epil_chla + fila_chla,-804.1957960488166,84.00028910647347,-804.206280016661,83.9786657085831,0.8168790267237129,1.417477072990664
ar1_lmod,light + epil_afdm + light_epil_afdm,-769.634308423912,87.79274242704845,-769.6712613932552,87.75942321895452,0.8129908667992864,1.4324464906517986
ar1_lmod,light + fila_afdm + light_fila_afdm,-768.1300508950729,90.5339439224108,-768.1328705572065,90.5140877310868,0.8173343530274518,1.4157137132656175
ar1_lmod,light + epil_afdm + fila_afdm + light_epil_afdm + light_fila_afdm,-790.9204333423718,88.0482859086432,-790.8754335684316,88.04963931692045,0.8170594235535995,1.4153876610301916
ar1_lmod,light + epil_chla + light_epil_chla,-780.7213680368069,87.50200928188676,-780.7693701970567,87.47014956895664,0.8150244338315524,1.424636876487294
ar1_lmod,light + fila_chla + light_fila_chla,-753.3943257012091,89.48155447576826,-753.5947119424234,89.37180208688841,0.8137381989811668,1.4295814300243823
ar1_lmod,light + epil_chla + fila_chla + light_epil_chla + light_fila_chla,-805.2540337164958,85.09949849389147,-805.203650344114,85.09683832609728,0.8185797789309301,1.4094939936298185
ar1_lmod,light_epil_afdm,-455.2488936305623,101.34654595244545,-455.1536449537724,101.3709659839659,0.7767475823636153,1.5666459614953057
ar1_lmod,light_fila_afdm,-456.50994689832396,99.92945524403463,-456.43679247010823,99.94855681808023,0.7726921355651842,1.5808112177202573
ar1_lmod,light_epil_chla,-463.3095884195977,99.182904815035,-463.31679370992225,99.17061658670174,0.7719434792506874,1.583412340716894
ar1_lmod,light_fila_chla,-459.0967068192543,98.5889378310503,-459.1494336645818,98.56394165872857,0.7707223943519004,1.587645720415883
ar1_lmod,light_epil_afdm + light_fila_afdm,-458.98701115696696,101.11663618886432,-458.8632774465429,101.1541798745038,0.7750746220708928,1.5717346314325584
ar1_lmod,light_epil_chla + light_fila_chla,-466.45841664185167,97.68964833536965,-465.9373097758466,97.85086536287378,0.7677970909291177,1.5969592019164494
