siteyear,site,year,q90,slope,slope.se,slope.lower,slope.upper
BM_2020,BM,2020,-0.5845155776679849,0.5747322078964202,0.023232834602404683,0.6211103437682617,0.5299932682904565
BM_2021,BM,2021,-0.627145577667985,0.6287032395839883,0.030233265325162614,0.6917892725969688,0.5752009542108901
BN_2020,BN,2020,-0.35528557766798496,0.3571788751978846,0.03281582364650753,0.42272253501281,0.29592826047662496
BN_2021,BN,2021,-0.514215577667985,0.5146710378176157,0.023755014417791414,0.5680858113901074,0.47691611251475563
DL_2020,DL,2020,-0.6169055776679849,0.5385795711640009,0.05701606079518402,0.6577426262900794,0.4368726059748111
DL_2021,DL,2021,-0.47050557766798495,0.4864771858877612,0.0461775677103757,0.5759989950295713,0.3942075005043568
GC_2020,GC,2020,-0.5680255776679849,0.7051276969158152,0.041589054619372075,0.7708868307328365,0.6134709708566395
GC_2021,GC,2021,-0.3771155776679849,0.38976185963099574,0.01986437023410186,0.4285708746744116,0.34994037189236726
GR_2020,GR,2020,-0.4387255776679849,0.44185634992750433,0.028920319953883958,0.4987958310706951,0.38641371509411987
GR_2021,GR,2021,-0.3021155776679849,0.25736593206946695,0.026681646975101364,0.31516058015135756,0.20992193860754013
PL_2020,PL,2020,-0.6498855776679849,0.6495191883467771,0.043285005944722114,0.7254900633702072,0.5544597535396821
PL_2021,PL,2021,-0.577595577667985,0.5762331006400347,0.021357488395195433,0.6161830335358839,0.5314302533601641
